#=#=#=# Syncrun started  2022-01-30T15:08:05Z 
#=#=#=#=# Propagation starts 2022-01-30T15:08:05Z (last step: 68 msec , total: 68 msec) 
2022-01-30T15:08:05Z | create_avg_T1.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640079157 | cf2d73bb08704835e1910842f96ab8a5 | 430 | 00000228oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a51d98fe-916a-43ad-87ff-7766d13f868a | 
2022-01-30T15:08:05Z | create_3dMEMA_test.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640080667 | bf11246735b4b7876dd6662ad4f3fb86 | 1306 | 00000232oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 6d84df97-7ccc-4571-a9ef-9aaf286f7312 | 
2022-01-30T15:08:05Z | create_group_anat_mask.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640078198 | 4bdce412fa589df93e87607b8267dd76 | 497 | 00000231oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b0c34f35-719b-4d3b-97e6-f52686333bf9 | 
2022-01-30T15:08:05Z | cmd.CSPLIN.MEMA | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640080543 | 4fb86e53bed07c0b7f31136929db7f4a | 29323 | 00000229oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | d86b798a-c7b7-41fb-a830-706cec368662 | 
2022-01-30T15:08:05Z | create_3dGroupInCorr.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1642499601 | 33689da7886677d798701c1bb9db0a31 | 632 | 00000230oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b14ab17c-5af3-433a-888b-d6e4bbb33555 | 
2022-01-30T15:08:05Z | ana_suit_groupres.m | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1639895384 | bb646a6d570a1baa23bde543ef3717cb | 1446 | 00000227oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 278ad8d4-6527-4a6b-9bd8-163b7f1aca2d | 
2022-01-30T15:08:07Z | create_surfgii_cere_group.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1639889333 | 432b6849557c0fcd45fa6921c59401e8 | 511 | 00000235oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2126003c-0121-48b5-a7b7-c200a1ecc280 | 
2022-01-30T15:08:07Z | create_group_func_mask.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640468459 | c509174b1d19597c303bcb93233b73cb | 728 | 00000234oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fb8d5b6a-096b-4278-8edd-51b9d91ba6b1 | 
2022-01-30T15:08:07Z | create_group_clust.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640468846 | e69e526a962737cac3a8993125b3b499 | 1078 | 00000233oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 97f626d1-a94c-4d8d-971c-9dc3b0df180a | 
2022-01-30T15:08:08Z | create_surfgii_group.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1639885970 | 2ad44be2954043c8a7a9f733c51f2dff | 1164 | 00000236oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | ca905a07-c87c-4464-b858-6810c65317bc | 
2022-01-30T15:08:08Z | flatmap | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640042025 | 324ba550481caa6cc1bfe3cffe5904ed | 0 | 00000237oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e51e74f4-cfc0-42be-8343-8c8bb1bbd848 | 
2022-01-30T15:08:08Z | get_subject_list.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1632318209 | 6cf45e615ba0c706fbf04d22edfb115b | 167 | 00000238oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | d35d4932-733e-4a3b-a552-3a35c11dd6db | 
2022-01-30T15:08:08Z | list_GLM_cond.sh | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1639183223 | 2b0b2fa4646ff87533b56b336ad462ee | 307 | 00000239oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e5287ccb-a3eb-4455-9267-a8318fbcefe8 | 
2022-01-30T15:08:08Z | list_afni_subj.txt | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1640078977 | 88a5b082f22bc88f4a0cf3bf1467fb00 | 400 | 00000240oc2pw2d8b9cm | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b04498ff-241c-4595-8bb2-9cfe6b8ece65 | 
